CÓDIGO;UF;NOME
01120;AC;ACRELÂNDIA
01570;AC;ASSIS BRASIL
01058;AC;BRASILÉIA
01007;AC;BUJARI
01015;AC;CAPIXABA
01074;AC;CRUZEIRO DO SUL
01112;AC;EPITACIOLÂNDIA
01139;AC;FEIJÓ
01104;AC;JORDÃO
01090;AC;MÂNCIO LIMA
01554;AC;MANOEL URBANO
01040;AC;MARECHAL THAUMATURGO
01511;AC;PLÁCIDO DE CASTRO
01023;AC;PORTO ACRE
01066;AC;PORTO WALTER
01392;AC;RIO BRANCO
01082;AC;RODRIGUES ALVES
01031;AC;SANTA ROSA DO PURUS
01457;AC;SENA MADUREIRA
01538;AC;SENADOR GUIOMARD
01473;AC;TARAUACÁ
01490;AC;XAPURI
27014;AL;ÁGUA BRANCA
27030;AL;ANADIA
27057;AL;ARAPIRACA
27073;AL;ATALAIA
27090;AL;BARRA DE SANTO ANTÔNIO
27111;AL;BARRA DE SÃO MIGUEL
27138;AL;BATALHA
27154;AL;BELÉM
27170;AL;BELO MONTE
27197;AL;BOCA DA MATA
27219;AL;BRANQUINHA
27235;AL;CACIMBINHAS
27251;AL;CAJUEIRO
27081;AL;CAMPESTRE
27278;AL;CAMPO ALEGRE
27294;AL;CAMPO GRANDE
27316;AL;CANAPI
27332;AL;CAPELA
27359;AL;CARNEIROS
27375;AL;CHÃ PRETA
27391;AL;COITÉ DO NÓIA
27413;AL;COLÔNIA LEOPOLDINA
27430;AL;COQUEIRO SECO
27456;AL;CORURIPE
28894;AL;CRAÍBAS
27472;AL;DELMIRO GOUVEIA
27499;AL;DOIS RIACHOS
27049;AL;ESTRELA DE ALAGOAS
27510;AL;FEIRA GRANDE
27537;AL;FELIZ DESERTO
27553;AL;FLEXEIRAS
27570;AL;GIRAU DO PONCIANO
27596;AL;IBATEGUARA
27618;AL;IGACI
27634;AL;IGREJA NOVA
27650;AL;INHAPI
27677;AL;JACARÉ DOS HOMENS
27693;AL;JACUÍPE
27715;AL;JAPARATINGA
27731;AL;JARAMATAIA
27065;AL;JEQUIÁ DA PRAIA
27758;AL;JOAQUIM GOMES
27774;AL;JUNDIÁ
27790;AL;JUNQUEIRO
27812;AL;LAGOA DA CANOA
27839;AL;LIMOEIRO DE ANADIA
27855;AL;MACEIÓ
27871;AL;MAJOR ISIDORO
27979;AL;MAR VERMELHO
27898;AL;MARAGOGI
27910;AL;MARAVILHA
27936;AL;MARECHAL DEODORO
27952;AL;MARIBONDO
27995;AL;MATA GRANDE
28010;AL;MATRIZ DE CAMARAGIBE
28037;AL;MESSIAS
28053;AL;MINADOR DO NEGRÃO
28070;AL;MONTEIRÓPOLIS
28096;AL;MURICI
28118;AL;NOVO LINO
28134;AL;OLHO D'ÁGUA DAS FLORES
28150;AL;OLHO D'ÁGUA DO CASADO
28177;AL;OLHO D'ÁGUA GRANDE
28193;AL;OLIVENÇA
28215;AL;OURO BRANCO
28231;AL;PALESTINA
28258;AL;PALMEIRA DOS ÍNDIOS
28274;AL;PÃO DE AÇÚCAR
27022;AL;PARICONHA
27006;AL;PARIPUEIRA
28290;AL;PASSO DE CAMARAGIBE
28312;AL;PAULO JACINTO
28339;AL;PENEDO
28355;AL;PIAÇABUÇU
28371;AL;PILAR
28398;AL;PINDOBA
28410;AL;PIRANHAS
28436;AL;POÇO DAS TRINCHEIRAS
28452;AL;PORTO CALVO
28479;AL;PORTO DE PEDRAS
28495;AL;PORTO REAL DO COLÉGIO
28517;AL;QUEBRANGULO
28533;AL;RIO LARGO
28550;AL;ROTEIRO
28576;AL;SANTA LUZIA DO NORTE
28592;AL;SANTANA DO IPANEMA
28614;AL;SANTANA DO MUNDAÚ
28630;AL;SÃO BRÁS
28657;AL;SÃO JOSÉ DA LAJE
28673;AL;SÃO JOSÉ DA TAPERA
28690;AL;SÃO LUÍS DO QUITUNDE
28711;AL;SÃO MIGUEL DOS CAMPOS
28738;AL;SÃO MIGUEL DOS MILAGRES
28754;AL;SÃO SEBASTIÃO
28770;AL;SATUBA
28916;AL;SENADOR RUI PALMEIRA
28797;AL;TANQUE D'ARCA
28819;AL;TAQUARANA
28932;AL;TEOTÔNIO VILELA
28835;AL;TRAIPU
28851;AL;UNIÃO DOS PALMARES
28878;AL;VIÇOSA
02895;AM;ALVARÃES
02917;AM;AMATURÁ
02933;AM;ANAMÃ
